iter	Passed	Remaining
0	0	96
1	1	89
2	2	89
3	3	84
4	4	82
5	5	78
6	5	77
7	6	74
8	7	72
9	7	70
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	11	62
16	12	62
17	13	61
18	14	61
19	15	61
20	15	60
21	16	58
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	32	44
42	33	44
43	33	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	43	33
56	44	33
57	45	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	76	0
